plan_id,scenario_id,feasible,total_cost_mln,shortage_t,min_total_service,min_critical_service,violations
earth,BASE,True,10265.13564568828,3.836930773104541e-13,0.9999999999999968,0.9999999999999941,0
earth,MANDATORY_STRESS,True,10851.809279615847,143.99999999999935,0.8692720025656366,0.9678870476123667,6
earth,LOW_DEMAND,False,10517.10438669035,0.0,0.9999999999999921,0.9999999999999966,25
earth,HIGH_DEMAND,False,10260.684967512263,283.00000000000057,0.7995504039339718,0.9497785656728492,14
lunar,BASE,True,9795.159803931261,0.0,0.999999999999997,0.9999999999999941,0
lunar,MANDATORY_STRESS,True,10378.985512433419,226.99199999999877,0.6843503990470555,0.8384949024279176,6
lunar,LOW_DEMAND,False,10041.235025128486,0.0,0.9999999999999921,0.9999999999999966,68
lunar,HIGH_DEMAND,False,9790.726937547322,283.0000000000002,0.7995504039339717,0.9397260273972545,14
unrestricted,BASE,True,9795.159803931263,1.6131540547803525e-13,0.9999999999999967,0.9999999999999941,0
unrestricted,MANDATORY_STRESS,True,10378.912345679435,226.99199999999885,0.7348421679571203,0.8766969134288604,6
unrestricted,LOW_DEMAND,False,10041.23502512849,0.0,0.9999999999999921,0.9999999999999966,69
unrestricted,HIGH_DEMAND,False,9790.726937547326,283.0000000000003,0.7995504039339717,0.9397260273972545,14
