rule_id,year,source_id,actual,limit,unit,operator,passed,severity,excess,plan_id,scenario_id,input_fingerprint
ORDER_EXCEEDS_CONTRACT,2035,E,0.0,0.0,t,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
ARRIVAL_CAPACITY_EXCEEDED,2035,E,0.0,80.0,t,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
BASE_TOTAL_SERVICE,2036,,1.0000000000000033,0.97,share,>=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
BASE_CRITICAL_SERVICE,2036,,1.0000000000000067,0.99,share,>=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
RESERVE_45D,2036,,17.260273972602743,17.26027397260274,t,>=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
NONNEGATIVE_INVENTORY,2036,,1.2878587085651816e-14,0.0,t,>=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
STORAGE_CAPACITY,2036,,0.0,0.0,t,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
MATERIAL_BALANCE,2036,,4.849454171562684e-13,1e-06,t,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
CRITICAL_NESTED,2036,,105.0000000000007,140.00000000000045,t,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
CAPEX_2037,2036,,540.0,1800.0,mln_units,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
LEAD_TIME,2036,,0.0,0.0,violations,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
SOURCE_UNAVAILABLE,2036,,0.0,0.0,violations,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
ISRU_FINANCING_DEADLINE,2036,,0.0,0.0,violations,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
ZBO_EARLIEST_YEAR,2036,,0.0,0.0,violations,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
EMERGENCY_BASE_STREAK,2036,,0.0,0.0,violations,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
NO_ACTIVE_CONTRACT,2036,,0.0,0.0,violations,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
RESERVATION_BEFORE_COMMISSIONING,2036,,0.0,0.0,violations,<=,True,hard,0.0,diversified,BASE,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab
