parameter,value,range_basis,baseline_input_fingerprint,experiment_input_fingerprint,plan_id,scenario_id,feasible,total_cost_mln,shortage_t,min_total_service,min_critical_service,violations,critical_shortage_t,min_inventory_t,max_inventory_t,rejected_t,flexible_rights_2038_t,service_compliant,cheapest_compliant_plan
demand,1.25,"0.8–1.25 из low/high данных; ×1.5–2 только TEAM reverse-stress, не прогноз",3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,earth,BASE,False,10259.6218265102,347.50000000000153,0.7995504039339718,0.9312836123795,14,52.53260273972849,0.0,77.50876712328719,0.0,0.0,False,none_feasible
demand,1.25,"0.8–1.25 из low/high данных; ×1.5–2 только TEAM reverse-stress, не прогноз",3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,lunar,BASE,False,9790.176628401143,347.50000000000114,0.7995504039339717,0.9397260273972545,14,49.318493150689335,0.0,97.26876712328755,0.0,0.0,False,none_feasible
demand,1.25,"0.8–1.25 из low/high данных; ×1.5–2 только TEAM reverse-stress, не прогноз",3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,diversified,BASE,False,11785.176628401146,347.50000000000125,0.7995504039339717,0.9397260273972545,14,49.318493150689335,0.0,97.26876712328765,0.0,320.00000000000006,False,none_feasible
demand,1.5,"0.8–1.25 из low/high данных; ×1.5–2 только TEAM reverse-stress, не прогноз",3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,earth,BASE,False,10255.9460385725,695.0000000000028,0.6659173398899477,0.8132420091324255,14,150.3547945205454,0.0,77.33753424657486,0.0,0.0,False,none_feasible
demand,1.5,"0.8–1.25 из low/high данных; ×1.5–2 только TEAM reverse-stress, не прогноз",3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,lunar,BASE,False,9786.854164959595,695.0000000000025,0.6659173398899476,0.8132420091324255,15,146.55972602739314,0.0,97.09753424657522,0.0,0.0,False,none_feasible
demand,1.5,"0.8–1.25 из low/high данных; ×1.5–2 только TEAM reverse-stress, не прогноз",3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,diversified,BASE,False,11781.854164959599,695.0000000000026,0.6659173398899476,0.8132420091324255,15,146.55972602739314,0.0,97.09753424657532,0.0,320.00000000000006,False,none_feasible
demand,2.0,"0.8–1.25 из low/high данных; ×1.5–2 только TEAM reverse-stress, не прогноз",3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,earth,BASE,False,10251.35099289789,1390.000000000006,0.49887600983491776,0.6109589041095931,16,609.4882191780767,0.0,76.9950684931502,0.0,0.0,False,none_feasible
demand,2.0,"0.8–1.25 из low/high данных; ×1.5–2 только TEAM reverse-stress, не прогноз",3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,lunar,BASE,False,9782.701838354229,1390.0000000000057,0.4988760098349177,0.6109589041095931,17,605.911780821912,0.0,96.75506849315056,0.0,0.0,False,none_feasible
demand,2.0,"0.8–1.25 из low/high данных; ×1.5–2 только TEAM reverse-stress, не прогноз",3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,diversified,BASE,False,11777.701838354233,1390.000000000006,0.4988760098349177,0.6109589041095931,17,605.911780821912,0.0,96.75506849315066,0.0,320.00000000000006,False,none_feasible
core_price,0.8,"+25% как контроль масштаба из mandatory; остальные границы TEAM_ASSUMPTION, без вероятности",3bb53686d954c2989e85ce538f6a33c176ff5771ade8463123c631ba8d1f54ab,1b0a1a84021e454ccfd759f2722c3f84310e4eca68c2be37df78bdfb961768a1,earth,BASE,True,8934.091026883147,3.836930773104541e-13,0.9999999999999968,0.9999999999999941,0,1.2363443602225743e-12,0.0,77.67999999999952,0.0,0.0,True,lunar
